니케 스텟 (SSR등급 한정),,,,,,,,,,,,,,,,,,,,,,,,,,호감도,"요구
포인트",화력형,,,방어형,,,지원형,,,,하모니 큐브,,,,,,,,,,,,분류,"공격력
증가량","방어력
증가량","HP
증가량"
130,220540,9802,1470,1234,1266,1411,1434,1229,269548,6534,1796,1509,1547,1725,1752,1503,245044,8168,1633,1371,1406,1568,1593,1366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,223240,9922,1488,1249,1281,1428,1451,1245,272848,6614,1818,1527,1566,1746,1774,1521,248044,8268,1653,1388,1423,1587,1613,1383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,225940,10042,1506,1264,1297,1446,1469,1260,276148,6694,1840,1545,1585,1767,1795,1539,251044,8368,1673,1405,1441,1606,1632,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,228640,10162,1524,1280,1312,1463,1486,1275,279448,6774,1862,1564,1604,1788,1817,1558,254044,8468,1693,1422,1458,1625,1652,1416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,231340,10282,1542,1295,1328,1480,1504,1290,282748,6854,1884,1582,1623,1809,1838,1576,257044,8568,1713,1439,1475,1645,1671,1433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,234040,10402,1560,1310,1343,1497,1522,1305,286048,6934,1906,1601,1642,1830,1860,1595,260044,8668,1733,1455,1492,1664,1691,1450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,236740,10522,1578,1325,1359,1515,1539,1320,289348,7014,1928,1619,1660,1851,1881,1613,263044,8768,1753,1472,1510,1683,1710,1466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,239440,10642,1596,1340,1374,1532,1557,1335,292648,7094,1950,1638,1679,1872,1903,1632,266044,8868,1773,1489,1527,1702,1730,1483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,242140,10762,1614,1355,1390,1549,1574,1350,295948,7174,1972,1656,1698,1893,1924,1650,269044,8968,1793,1506,1544,1721,1749,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,244840,10882,1632,1370,1405,1566,1592,1365,299248,7254,1994,1675,1717,1915,1945,1668,272044,9068,1813,1523,1561,1741,1769,1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,247540,11002,1650,1385,1421,1584,1609,1380,302548,7334,2016,1693,1736,1936,1967,1687,275044,9168,1833,1539,1578,1760,1788,1533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,259916,11551,1733,1455,1492,1663,1690,1449,317676,7701,2118,1778,1823,2033,2066,1771,288796,9626,1925,1617,1658,1848,1878,1610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,262616,11671,1751,1470,1507,1681,1708,1464,320976,7781,2140,1797,1842,2054,2087,1790,291796,9726,1945,1633,1675,1867,1897,1627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,265316,11791,1769,1485,1523,1698,1725,1479,324276,7861,2162,1815,1861,2075,2109,1808,294796,9826,1965,1650,1692,1886,1917,1644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,268016,11911,1787,1500,1538,1715,1743,1494,327576,7941,2184,1834,1880,2096,2130,1827,297796,9926,1985,1667,1709,1906,1936,1661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,270716,12031,1805,1515,1554,1732,1760,1510,330876,8021,2206,1852,1899,2117,2152,1845,300796,10026,2005,1684,1727,1925,1956,1677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,273416,12151,1823,1531,1569,1750,1778,1525,334176,8101,2228,1871,1918,2138,2173,1863,303796,10126,2025,1701,1744,1944,1975,1694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,276116,12271,1841,1546,1585,1767,1795,1540,337476,8181,2250,1889,1937,2160,2194,1882,306796,10226,2045,1717,1761,1963,1995,1711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,278816,12391,1859,1561,1600,1784,1813,1555,340776,8261,2272,1908,1956,2181,2216,1900,309796,10326,2065,1734,1778,1982,2014,1727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,281516,12511,1877,1576,1616,1802,1831,1570,344076,8341,2294,1926,1975,2202,2237,1919,312796,10426,2085,1751,1795,2002,2034,1744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,284216,12631,1895,1591,1631,1819,1848,1585,347376,8421,2316,1945,1994,2223,2259,1937,315796,10526,2105,1768,1813,2021,2053,1761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,286916,12751,1913,1606,1647,1836,1866,1600,350676,8501,2338,1963,2013,2244,2280,1955,318796,10626,2125,1785,1830,2040,2073,1778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,289616,12871,1931,1621,1662,1853,1883,1615,353976,8581,2360,1982,2032,2265,2302,1974,321796,10726,2145,1801,1847,2059,2093,1794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,292316,12991,1949,1636,1678,1871,1901,1630,357276,8661,2382,2000,2051,2286,2323,1992,324796,10826,2165,1818,1864,2078,2112,1811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,295016,13111,1967,1651,1693,1888,1918,1645,360576,8741,2404,2018,2070,2307,2345,2011,327796,10926,2185,1835,1882,2098,2132,1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,297716,13231,1985,1667,1709,1905,1936,1660,363876,8821,2426,2037,2089,2329,2366,2029,330796,11026,2205,1852,1899,2117,2151,1845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,300416,13351,2003,1682,1724,1922,1953,1675,367176,8901,2448,2055,2108,2350,2388,2047,333796,11126,2225,1869,1916,2136,2171,1861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,303116,13471,2021,1697,1740,1940,1971,1690,370476,8981,2470,2074,2127,2371,2409,2066,336796,11226,2245,1885,1933,2155,2190,1878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,305816,13591,2039,1712,1755,1957,1989,1705,373776,9061,2492,2092,2145,2392,2431,2084,339796,11326,2265,1902,1950,2174,2210,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,308516,13711,2057,1727,1771,1974,2006,1720,377076,9141,2514,2111,2164,2413,2452,2103,342796,11426,2285,1919,1968,2194,2229,1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,311216,13831,2075,1742,1786,1992,2024,1735,380376,9221,2536,2129,2183,2434,2473,2121,345796,11526,2305,1936,1985,2213,2249,1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,326777,14522,2178,1829,1876,2091,2125,1822,399395,9682,2662,2236,2292,2556,2597,2227,363086,12102,2420,2032,2084,2323,2361,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,330152,14672,2201,1848,1895,2113,2147,1841,403520,9782,2690,2259,2316,2582,2624,2250,366836,12227,2445,2053,2105,2347,2385,2045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,333527,14822,2223,1867,1914,2134,2169,1860,407645,9882,2717,2282,2340,2608,2651,2273,370586,12352,2470,2074,2127,2371,2410,2066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,336902,14972,2246,1886,1934,2156,2191,1878,411770,9982,2745,2305,2363,2635,2677,2296,374336,12477,2495,2095,2148,2395,2434,2087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,340277,15122,2268,1905,1953,2177,2212,1897,415895,10082,2772,2328,2387,2661,2704,2319,378086,12602,2520,2116,2170,2419,2458,2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,343652,15272,2291,1924,1972,2199,2234,1916,420020,10182,2800,2351,2411,2688,2731,2342,381836,12727,2545,2137,2192,2443,2483,2129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,347027,15422,2313,1942,1992,2221,2256,1935,424145,10282,2827,2374,2434,2714,2758,2365,385586,12852,2570,2158,2213,2467,2507,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,350402,15572,2336,1961,2011,2242,2278,1954,428270,10382,2855,2397,2458,2740,2785,2388,389336,12977,2595,2179,2235,2491,2531,2171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,353777,15722,2358,1980,2031,2264,2300,1973,432395,10482,2882,2420,2482,2767,2811,2411,393086,13102,2620,2200,2256,2515,2556,2192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,357152,15872,2381,1999,2050,2285,2322,1991,436520,10582,2910,2443,2505,2793,2838,2434,396836,13227,2645,2221,2278,2539,2580,2213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,360527,16022,2403,2018,2069,2307,2344,2010,440645,10682,2937,2466,2529,2820,2865,2457,400586,13352,2670,2242,2299,2563,2605,2234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,363902,16172,2426,2037,2089,2329,2366,2029,444770,10782,2965,2490,2553,2846,2892,2480,404336,13477,2695,2263,2321,2587,2629,2254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,367277,16322,2448,2056,2108,2350,2388,2048,448895,10882,2992,2513,2576,2872,2919,2503,408086,13602,2720,2284,2342,2611,2653,2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,370652,16472,2471,2075,2127,2372,2410,2067,453020,10982,3020,2536,2600,2899,2946,2526,411836,13727,2745,2305,2364,2635,2678,2296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,374027,16622,2493,2094,2147,2393,2432,2085,457145,11082,3047,2559,2624,2925,2972,2549,415586,13852,2770,2326,2385,2659,2702,2317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,377402,16772,2516,2113,2166,2415,2454,2104,461270,11182,3075,2582,2647,2952,2999,2572,419336,13977,2795,2347,2407,2683,2727,2338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,380777,16922,2538,2131,2186,2437,2476,2123,465395,11282,3102,2605,2671,2978,3026,2595,423086,14102,2820,2368,2428,2707,2751,2359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,384152,17072,2561,2150,2205,2458,2498,2142,469520,11382,3130,2628,2695,3004,3053,2618,426836,14227,2845,2389,2450,2731,2775,2380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,387527,17222,2583,2169,2224,2480,2520,2161,473645,11482,3157,2651,2719,3031,3080,2641,430586,14352,2870,2410,2471,2755,2800,2401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,390902,17372,2606,2188,2244,2501,2542,2180,477770,11582,3185,2674,2742,3057,3107,2664,434336,14477,2895,2431,2493,2779,2824,2422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,410448,18241,2736,2298,2356,2627,2669,2289,501658,12161,3344,2808,2880,3210,3262,2797,456053,15201,3040,2553,2618,2919,2966,2543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,413823,18391,2759,2317,2375,2648,2691,2308,505783,12261,3372,2831,2903,3237,3289,2820,459803,15326,3065,2574,2639,2943,2990,2564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,417198,18541,2781,2335,2395,2670,2713,2326,509908,12361,3399,2854,2927,3263,3316,2843,463553,15451,3090,2595,2661,2967,3014,2585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,420573,18691,2804,2354,2414,2691,2735,2345,514033,12461,3427,2878,2951,3290,3343,2866,467303,15576,3115,2616,2682,2991,3039,2606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,423948,18841,2826,2373,2434,2713,2757,2364,518158,12561,3454,2901,2974,3316,3369,2889,471053,15701,3140,2637,2704,3015,3063,2627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,427323,18991,2849,2392,2453,2735,2779,2383,522283,12661,3482,2924,2998,3342,3396,2912,474803,15826,3165,2658,2725,3039,3088,2648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,430698,19141,2871,2411,2472,2756,2801,2402,526408,12761,3509,2947,3022,3369,3423,2935,478553,15951,3190,2679,2747,3063,3112,2669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,434073,19291,2894,2430,2492,2778,2823,2421,530533,12861,3537,2970,3045,3395,3450,2958,482303,16076,3215,2700,2768,3087,3136,2689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,437448,19441,2916,2449,2511,2799,2845,2439,534658,12961,3564,2993,3069,3422,3477,2981,486053,16201,3240,2721,2790,3111,3161,2710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,440823,19591,2939,2468,2530,2821,2867,2458,538783,13061,3592,3016,3093,3448,3504,3004,489803,16326,3265,2742,2812,3135,3185,2731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,444198,19741,2961,2487,2550,2843,2889,2477,542908,13161,3619,3039,3116,3474,3530,3027,493553,16451,3290,2763,2833,3159,3209,2752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,447573,19891,2984,2506,2569,2864,2910,2496,547033,13261,3647,3062,3140,3501,3557,3050,497303,16576,3315,2784,2855,3183,3234,2773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,450948,20041,3006,2524,2589,2886,2932,2515,551158,13361,3674,3085,3164,3527,3584,3073,501053,16701,3340,2805,2876,3207,3258,2794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,454323,20191,3029,2543,2608,2907,2954,2533,555283,13461,3702,3109,3187,3554,3611,3096,504803,16826,3365,2826,2898,3231,3283,2815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,457698,20341,3051,2562,2627,2929,2976,2552,559408,13561,3729,3132,3211,3580,3638,3119,508553,16951,3390,2847,2919,3255,3307,2836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,461073,20491,3074,2581,2647,2951,2998,2571,563533,13661,3757,3155,3235,3606,3665,3142,512303,17076,3415,2868,2941,3279,3331,2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,464448,20641,3096,2600,2666,2972,3020,2590,567658,13761,3784,3178,3258,3633,3691,3165,516053,17201,3440,2889,2962,3303,3356,2878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,467823,20791,3119,2619,2685,2994,3042,2609,571783,13861,3812,3201,3282,3659,3718,3188,519803,17326,3465,2910,2984,3327,3380,2899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,471198,20941,3141,2638,2705,3015,3064,2628,575908,13961,3839,3224,3306,3686,3745,3211,523553,17451,3490,2931,3005,3351,3405,2920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,474573,21091,3164,2657,2724,3037,3086,2646,580033,14061,3867,3247,3329,3712,3772,3234,527303,17576,3515,2952,3027,3375,3429,2940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,498301,22146,3322,2790,2861,3189,3241,2779,609035,14764,4060,3410,3496,3898,3961,3396,553668,18455,3691,3100,3178,3544,3601,3088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,502351,22326,3349,2812,2884,3215,3267,2801,613985,14884,4093,3437,3525,3930,3993,3424,558168,18605,3721,3125,3204,3572,3630,3113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,506401,22506,3376,2835,2907,3241,3293,2824,618935,15004,4126,3465,3553,3961,4025,3452,562668,18755,3751,3150,3230,3601,3659,3138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,510451,22686,3403,2858,2930,3267,3320,2847,623885,15124,4159,3493,3581,3993,4057,3479,567168,18905,3781,3175,3256,3630,3688,3163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,514501,22866,3430,2880,2954,3293,3346,2869,628835,15244,4192,3521,3610,4025,4089,3507,571668,19055,3811,3200,3282,3659,3718,3188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,518551,23046,3457,2903,2977,3319,3372,2892,633785,15364,4225,3548,3638,4056,4122,3534,576168,19205,3841,3226,3308,3688,3747,3213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,522601,23226,3484,2926,3000,3345,3399,2914,638735,15484,4258,3576,3667,4088,4154,3562,580668,19355,3871,3251,3333,3716,3776,3238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,526651,23406,3511,2948,3023,3371,3425,2937,643685,15604,4291,3604,3695,4120,4186,3590,585168,19505,3901,3276,3359,3745,3806,3263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,530701,23586,3538,2971,3047,3397,3451,2960,648635,15724,4324,3631,3724,4151,4218,3617,589668,19655,3931,3301,3385,3774,3835,3288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,534751,23766,3565,2994,3070,3422,3478,2982,653585,15844,4357,3659,3752,4183,4250,3645,594168,19805,3961,3326,3411,3803,3864,3314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,538801,23946,3592,3016,3093,3448,3504,3005,658535,15964,4390,3687,3780,4215,4283,3672,598668,19955,3991,3352,3437,3832,3893,3339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,542851,24126,3619,3039,3116,3474,3530,3027,663485,16084,4423,3715,3809,4246,4315,3700,603168,20105,4021,3377,3463,3860,3923,3364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,546901,24306,3646,3062,3140,3500,3557,3050,668435,16204,4456,3742,3837,4278,4347,3728,607668,20255,4051,3402,3488,3889,3952,3389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,550951,24486,3673,3084,3163,3526,3583,3073,673385,16324,4489,3770,3866,4310,4379,3755,612168,20405,4081,3427,3514,3918,3981,3414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,555001,24666,3700,3107,3186,3552,3609,3095,678335,16444,4522,3798,3894,4341,4411,3783,616668,20555,4111,3452,3540,3947,4010,3439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,559051,24846,3727,3130,3209,3578,3636,3118,683285,16564,4555,3825,3922,4373,4444,3811,621168,20705,4141,3478,3566,3976,4040,3464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,563101,25026,3754,3153,3233,3604,3662,3140,688235,16684,4588,3853,3951,4405,4476,3838,625668,20855,4171,3503,3592,4004,4069,3489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,567151,25206,3781,3175,3256,3630,3688,3163,693185,16804,4621,3881,3979,4436,4508,3866,630168,21005,4201,3528,3618,4033,4098,3514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,571201,25386,3808,3198,3279,3656,3715,3185,698135,16924,4654,3909,4008,4468,4540,3893,634668,21155,4231,3553,3643,4062,4127,3539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,575251,25566,3835,3221,3302,3682,3741,3208,703085,17044,4687,3936,4036,4500,4572,3921,639168,21305,4261,3578,3669,4091,4157,3565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,604013,26844,4027,3382,3467,3866,3928,3368,738239,17896,4921,4133,4238,4725,4801,4117,671126,22370,4474,3757,3853,4295,4364,3743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,608063,27024,4054,3404,3491,3892,3954,3391,743189,18016,4954,4161,4266,4756,4833,4145,675626,22520,4504,3782,3878,4324,4394,3768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,612113,27204,4081,3427,3514,3918,3981,3414,748139,18136,4987,4188,4295,4788,4865,4172,680126,22670,4534,3808,3904,4353,4423,3793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,616163,27384,4108,3450,3537,3943,4007,3436,753089,18256,5020,4216,4323,4820,4898,4200,684626,22820,4564,3833,3930,4382,4452,3818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,620213,27564,4135,3472,3560,3969,4033,3459,758039,18376,5053,4244,4352,4851,4930,4227,689126,22970,4594,3858,3956,4410,4482,3843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,624263,27744,4162,3495,3584,3995,4060,3481,762989,18496,5086,4272,4380,4883,4962,4255,693626,23120,4624,3883,3982,4439,4511,3868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,628313,27924,4189,3518,3607,4021,4086,3504,767939,18616,5119,4299,4408,4915,4994,4283,698126,23270,4654,3908,4008,4468,4540,3893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,632363,28104,4216,3540,3630,4047,4112,3527,772889,18736,5152,4327,4437,4947,5026,4310,702626,23420,4684,3934,4033,4497,4569,3918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,636413,28284,4243,3563,3653,4073,4139,3549,777839,18856,5185,4355,4465,4978,5058,4338,707126,23570,4714,3959,4059,4526,4599,3943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,640463,28464,4270,3586,3677,4099,4165,3572,782789,18976,5218,4382,4494,5010,5091,4365,711626,23720,4744,3984,4085,4554,4628,3969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,644513,28644,4297,3608,3700,4125,4191,3594,787739,19096,5251,4410,4522,5042,5123,4393,716126,23870,4774,4009,4111,4583,4657,3994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,648563,28824,4324,3631,3723,4151,4218,3617,792689,19216,5284,4438,4550,5073,5155,4421,720626,24020,4804,4034,4137,4612,4686,4019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,652613,29004,4351,3654,3746,4177,4244,3639,797639,19336,5317,4466,4579,5105,5187,4448,725126,24170,4834,4060,4163,4641,4716,4044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,656663,29184,4378,3676,3770,4203,4270,3662,802589,19456,5350,4493,4607,5137,5219,4476,729626,24320,4864,4085,4188,4670,4745,4069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,660713,29364,4405,3699,3793,4229,4297,3685,807539,19576,5383,4521,4636,5168,5252,4503,734126,24470,4894,4110,4214,4698,4774,4094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,664763,29544,4432,3722,3816,4255,4323,3707,812489,19696,5416,4549,4664,5200,5284,4531,738626,24620,4924,4135,4240,4727,4803,4119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,668813,29724,4459,3744,3839,4280,4349,3730,817439,19816,5449,4576,4693,5232,5316,4559,743126,24770,4954,4160,4266,4756,4833,4144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,672863,29904,4486,3767,3863,4306,4376,3752,822389,19936,5482,4604,4721,5263,5348,4586,747626,24920,4984,4186,4292,4785,4862,4169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,676913,30084,4513,3790,3886,4332,4402,3775,827339,20056,5515,4632,4749,5295,5380,4614,752126,25070,5014,4211,4318,4814,4891,4194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,680963,30264,4540,3812,3909,4358,4428,3798,832289,20176,5548,4660,4778,5327,5413,4641,756626,25220,5044,4236,4343,4842,4921,4220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,715011,31777,4766,4003,4104,4576,4650,3987,873903,21185,5826,4892,5016,5593,5683,4873,794457,26481,5296,4448,4560,5084,5166,4430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,719736,31987,4798,4029,4132,4606,4680,4014,879678,21325,5864,4925,5050,5630,5721,4906,799707,26656,5331,4477,4591,5118,5201,4460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,724461,32197,4829,4056,4159,4636,4711,4040,885453,21465,5903,4957,5083,5667,5758,4938,804957,26831,5366,4506,4621,5152,5235,4489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,729186,32407,4861,4082,4186,4667,4742,4066,891228,21605,5941,4989,5116,5704,5796,4970,810207,27006,5401,4536,4651,5185,5269,4518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,733911,32617,4892,4109,4213,4697,4773,4093,897003,21745,5980,5022,5149,5741,5833,5002,815457,27181,5436,4565,4681,5219,5303,4547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,738636,32827,4924,4135,4240,4727,4803,4119,902778,21885,6018,5054,5182,5778,5871,5034,820707,27356,5471,4595,4711,5252,5337,4577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,743361,33037,4955,4162,4267,4757,4834,4145,908553,22025,6057,5086,5215,5815,5908,5067,825957,27531,5506,4624,4741,5286,5371,4606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,748086,33247,4987,4188,4294,4788,4865,4172,914328,22165,6095,5119,5249,5852,5946,5099,831207,27706,5541,4653,4771,5320,5405,4635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,752811,33457,5018,4214,4321,4818,4896,4198,920103,22305,6134,5151,5282,5889,5983,5131,836457,27881,5576,4683,4802,5353,5440,4665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,757536,33667,5050,4241,4349,4848,4926,4224,925878,22445,6172,5183,5315,5925,6021,5163,841707,28056,5611,4712,4832,5387,5474,4694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,762261,33877,5081,4267,4376,4878,4957,4251,931653,22585,6211,5216,5348,5962,6059,5195,846957,28231,5646,4742,4862,5420,5508,4723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,766986,34087,5113,4294,4403,4909,4988,4277,937428,22725,6249,5248,5381,5999,6096,5228,852207,28406,5681,4771,4892,5454,5542,4752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,771711,34297,5144,4320,4430,4939,5018,4304,943203,22865,6288,5280,5414,6036,6134,5260,857457,28581,5716,4800,4922,5488,5576,4782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,776436,34507,5176,4347,4457,4969,5049,4330,948978,23005,6326,5313,5447,6073,6171,5292,862707,28756,5751,4830,4952,5521,5610,4811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,781161,34717,5207,4373,4484,4999,5080,4356,954753,23145,6365,5345,5481,6110,6209,5324,867957,28931,5786,4859,4982,5555,5644,4840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,785886,34927,5239,4400,4511,5030,5111,4383,960528,23285,6403,5377,5514,6147,6246,5356,873207,29106,5821,4888,5013,5588,5679,4870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,790611,35137,5270,4426,4538,5060,5141,4409,966303,23425,6442,5410,5547,6184,6284,5389,878457,29281,5856,4918,5043,5622,5713,4899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,795336,35347,5302,4453,4566,5090,5172,4435,972078,23565,6480,5442,5580,6221,6321,5421,883707,29456,5891,4947,5073,5656,5747,4928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,800061,35557,5333,4479,4593,5120,5203,4462,977853,23705,6519,5474,5613,6258,6359,5453,888957,29631,5926,4977,5103,5689,5781,4957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,804786,35767,5365,4505,4620,5151,5234,4488,983628,23845,6557,5507,5646,6295,6397,5485,894207,29806,5961,5006,5133,5723,5815,4987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,845025,37555,5633,4731,4851,5408,5495,4712,1032809,25037,6885,5782,5929,6610,6716,5760,938917,31296,6259,5256,5390,6009,6106,5236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,849750,37765,5665,4757,4878,5438,5526,4739,1038584,25177,6923,5814,5962,6647,6754,5792,944167,31471,6294,5286,5420,6042,6140,5265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,854475,37975,5696,4784,4905,5468,5557,4765,1044359,25317,6962,5847,5995,6684,6792,5824,949417,31646,6329,5315,5450,6076,6174,5294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
